Title	Work Pages	Completed	Remaining	Completion
Word Study Phonix	151.0	28.0	123.0	18%
Language Arts	149.0	13.0	136.0	8%
Spectrum 6th Grade	277.0	0.0	277.0	0%
Word Problems	114.0	9.0	105.0	7%
Reading	151.0	21.0	130.0	13%
Spelling	131.0	33.0	98.0	25%
Critical Thinking Math	102.0	11.0	91.0	10%
World Geography	91.0	17.0	74.0	18%
Writing	129.0	29.0	100.0	22%
Math	148.0	9.3	138.7	6%
Fractions	83.0	24.0	59.0	28%
Vocabulary	148.0	28.0	120.0	18%
Science	151.0	19.0	132.0	12%
Ultimate Math	207.0	27.0	180.0	13%
Test Practice	154.0	63.0	91.0	40%
Algebra 6 - 8	106.0	9.0	97.0	8%
Mighty Heart	35.0	6.0	29.0	17%
