Title	Work Pages	Completed	Remaining	Completion
Word Study Phonix	151.0	26.0	125.0	17%
Language Arts	149.0	12.0	137.0	8%
Spectrum 6th Grade	277.0	0.0	277.0	0%
Word Problems	114.0	9.0	105.0	7%
Reading	151.0	19.0	132.0	12%
Spelling	131.0	32.0	99.0	24%
Critical Thinking Math	102.0	11.0	91.0	10%
World Geography	91.0	17.0	74.0	18%
Writing	129.0	28.0	101.0	21%
Math	148.0	9.3	138.7	6%
Fractions	83.0	23.0	60.0	27%
Vocabulary	148.0	26.0	122.0	17%
Science	151.0	17.0	134.0	11%
Ultimate Math	207.0	26.0	181.0	12%
Test Practice	154.0	61.0	93.0	39%
Algebra 6 - 8	106.0	9.0	97.0	8%
Mighty Heart	35.0	3.0	32.0	8%
