Title	Work Pages	Completed	Remaining	Completion
Word Study Phonix	151.0	33.0	118.0	21%
Language Arts	149.0	13.0	136.0	8%
Spectrum 6th Grade	277.0	0.0	277.0	0%
Word Problems	114.0	12.0	102.0	10%
Reading	151.0	29.0	122.0	19%
Spelling	131.0	34.0	97.0	25%
Critical Thinking Math	102.0	11.0	91.0	10%
World Geography	91.0	17.0	74.0	18%
Writing	129.0	42.0	87.0	32%
Math	148.0	10.3	137.7	6%
Fractions	83.0	24.0	59.0	28%
Vocabulary	148.0	28.0	120.0	18%
Science	151.0	22.0	129.0	14%
Ultimate Math	207.0	29.0	178.0	14%
Test Practice	154.0	76.0	78.0	49%
Algebra 6 - 8	106.0	9.0	97.0	8%
Data Analysis & Probability 6-8	106	19	87	18%
Mighty Heart	35.0	8.899999999999999	26.099999999999998	25%
